pns_call_record_id,pns_call_receiver_glusr_id,pns_call_record_date,pns_call_duration,pns_call_record_started_at,pns_call_record_ended_at,pns_call_caller_glusr_id,pns_call_caller_city_id,pns_call_modrefname,pns_call_ref_prime_mcat,pns_call_ref_prime_mcat,pns_call_recording_url
645539221,24108739,43:38.0,919,13:43:38,13:58:57,110288323,70426,,Label Tape,Label Tape,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=JA3YrJY3sx0JfDnC/rFhEdIw04lhooDoktGYhAWn1XsWPaH3YPlgR56b9ZJaWuBF9OhEVrQiopXIuiyu8b4Ppq2TcxnrUSHdsq3N9FINhng8sHglrMUdhd89HQMqPPVc
647068849,24108739,44:12.0,694,18:44:12,18:55:46,180874980,70435,,Label Tape,Label Tape,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=c 4QXiRe0nYrelDhNhywfIabIalEuqtJ4CQrnrdx60LeulyG2VF5iqtBMU69T2lEe7w6nJKtbMvtMkpbWcxnNHGbBspMQMJd57TYdxHnnS3xQQQrPAlsRQpImVcgwjUG
647345583,24108739,57:21.0,606,10:57:21,11:07:28,142518417,70624,Ferrule Printing Machine Supvan TP70E,Ferrule Printing Machine,Ferrule Printing Machine,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token= o5N2L8VJ72KOQXGqSsiK4abIalEuqtJ4CQrnrdx60IxeSUAdP/gVZPvr9mIw18Ur4UPUsNhZ0u2QogCec0ILPOrUV9yOUAIkLvJDYFjw6psgRp 3CtKDba6WJAFAseS
647013232,152298969,39:00.0,488,15:39:00,15:47:08,51422428,73701,Shreyans SRS95A with Inbuilt Printer & Free Billing Software,POS Touch Screen,POS Touch Screen,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=c 4QXiRe0nYrelDhNhywfIabIalEuqtJ4CQrnrdx60K6ZnW kja6nG1 M25hZOUKjjrLny1lg1m DxU4YecPdaLt2YXNu3g7j/dSfZxwpw5sgRp 3CtKDba6WJAFAseS
641306420,152298969,31:21.0,447,13:31:21,13:38:49,235877892,70624,,Thermal Receipt Printer,Thermal Receipt Printer,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=fveH9k1B8PDwukJz tCIqoabIalEuqtJ4CQrnrdx60LTHYksT9YuY9giZ2Y47qqsQKyAoHdQ ur1O5pGqvmHDeUoKqCDxKK0KV4/XXHMfStsgRp 3CtKDba6WJAFAseS
644502140,24108739,43:41.0,367,12:43:41,12:49:49,185423791,70630,,Label Tape,Label Tape,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=Fsyd1DGe ApO3WV0LB0PDtIw04lhooDoktGYhAWn1XtbpVXQx3EF JMehcpbDa lrzFZjVGCgbVvC6lTD d0U2dw79dGIYbYSFhf9B/8w1A8sHglrMUdhd89HQMqPPVc
641464496,5057661,34:59.0,361,10:34:59,10:41:00,89226609,70751,,Flap Wheels,Flap Wheels,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=jDNElsb9CiRJX/BcigFCNoabIalEuqtJ4CQrnrdx60I8SnNgalXbM1D1bmPgnxLaw1EjZrvDBCqv0pkxTahOPayhdLOECfxZ0GIZZkVVZJRsgRp 3CtKDba6WJAFAseS
645541308,24108739,59:07.0,353,13:59:07,14:05:01,110288323,70426,,Label Tape,Label Tape,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=JA3YrJY3sx0JfDnC/rFhEdIw04lhooDoktGYhAWn1XsE9Ep8bmXRUSuUpQ60eQ SVuxCKK31t4WDtABNn/WcAWF15Tv54BZUbvfUZIbM1x1sgRp 3CtKDba6WJAFAseS
642574835,42728554,34:45.0,333,12:34:45,12:40:18,20563398,69514,Manual Tile Cutter,Tile Cutters,Tile Cutters,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=0Oteys8wl5upA7YX3 3vfNIw04lhooDoktGYhAWn1XsUlj6/1j3Z0Hy1KBhpS7n1UCzAWv3Zzb2Xc4GjBihmvFVqMCZrfWfPYIoe27R0KMI8sHglrMUdhd89HQMqPPVc
644852683,42728554,11:58.0,322,13:11:58,13:17:22,256862821,70620,MOKPRO Rotary Hammer Drill,Rotary Hammer Drill,Rotary Hammer Drill,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=9UqBYgzG6RCmdfoPKNthKNIw04lhooDoktGYhAWn1XtTtM9K5VGHtEukijnD9yYuBeSq0I2GV61B568ea/K1kW8UkEkD7U OXaRvuQAp6SI8sHglrMUdhd89HQMqPPVc
643439579,24108739,53:19.0,316,15:53:19,15:58:36,157112899,70778,,Epson Barcode Printer,Epson Barcode Printer,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=tmDV/vLQr8gO4B6IjvSd5tIw04lhooDoktGYhAWn1XvD4NtGwDsoWN8r9mHfQxEf42mcz5LBoB7YIkmq/BZIkhHaN5kHmvRxhMH82QAYEx88sHglrMUdhd89HQMqPPVc
645651646,42728554,38:44.0,308,20:38:44,20:43:52,10272775,70731,MOKPRO WATER PUMP 3 INCH OUTLET,Petrol Engine Water Pump,Petrol Engine Water Pump,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=JA3YrJY3sx0JfDnC/rFhEdIw04lhooDoktGYhAWn1Xs0wo8nJ/0SzSmWRJVaxzKwJKMoOzoUdeuQybwghdXOmF7jjLfwPZCqbkjAuJP7uz08sHglrMUdhd89HQMqPPVc
644961654,24108739,45:30.0,288,18:45:30,18:50:18,251868675,70772,"Supvan Ink Ferrule Printer Ribbons, Model Name/Number: TP-R100EB",Ferrule Printer Ribbons,Ferrule Printer Ribbons,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=9UqBYgzG6RCmdfoPKNthKNIw04lhooDoktGYhAWn1XseAnmLK4Ht0wP3V0ci3ud sc/5mR45xZbkal2YJogMM 3W6fwEpZkN2CfGNKxHtuI8sHglrMUdhd89HQMqPPVc
648552499,24108739,48:55.0,288,18:48:55,18:53:44,120498092,73702,"Ferrule Printing Machine Supvan TP70E, 40pcs/min",Ferrule Printing Machine,Ferrule Printing Machine,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=1SEni jCb0HJWYI1vEfeMNIw04lhooDoktGYhAWn1XvNiFrXXbN3uLzz 0Wk/locwzHRAIRrPbC9uZd4eAaFUghQa1bQODpFSQWRJqsfc8c8sHglrMUdhd89HQMqPPVc
646001243,5057661,16:37.0,282,15:16:37,15:21:19,35085280,69514,Mangalam Mild Steel Welding Rod,Mangalam Mild Steel Welding Rod,Mangalam Mild Steel Welding Rod,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=2xqfLiZx3iRLDdSzWzow7dIw04lhooDoktGYhAWn1Xuet0m4Ah1BpEV19i8YVU9pGIoSpxRsP2SH9JhKnTpR9a5f1doOw6W1bcC0RSzECzc8sHglrMUdhd89HQMqPPVc
640067743,24108739,14:07.0,246,17:14:07,17:18:14,225273914,78877,Ferrule Printing Machine Supvan TP70E,Ferrule Printing Machine,Ferrule Printing Machine,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=iU kMXGVkrBg/184HAJy/oabIalEuqtJ4CQrnrdx60JXc4hgIgqWpB548FkM/O MqtdEdx6AsH2FWhxYLWZ jg18G2H Ylh7XAeyNO1SWm5sgRp 3CtKDba6WJAFAseS
644854689,152298969,18:17.0,246,13:18:17,13:22:24,100502312,90889,Shreyans SRS58B Thermal Receipt Printer,Thermal Receipt Printer,Thermal Receipt Printer,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=9UqBYgzG6RCmdfoPKNthKNIw04lhooDoktGYhAWn1Xux mQaUb82iQ2UKa3g6v2Pl3XshlZ8Ivd5Ues6C8LbdXbsLk/ctHH4YBRz4n/1FYA8sHglrMUdhd89HQMqPPVc
640051635,24108739,20:49.0,243,16:20:49,16:24:53,107660868,70630,,Label Tape,Label Tape,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=iU kMXGVkrBg/184HAJy/oabIalEuqtJ4CQrnrdx60INvdU9MsHtfMyX3Ly5DXvkY3NQ74leVm0pIaGJwASthyaYJetiZGCXeHA9Rh3KJ8vxQQQrPAlsRQpImVcgwjUG
646376923,24108739,14:39.0,241,17:14:39,17:18:40,193728516,70625,Casio Label Tape,Casio Printer Consumables,Casio Printer Consumables,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=iIQy8ACprD44GX 8iZxwpIabIalEuqtJ4CQrnrdx60LXNHUJeWv6RnaVHIcwqZDPuWAvVh0zydYRwCTEG1pBU/O5RliNCeAjfWoRdOQIf1xsgRp 3CtKDba6WJAFAseS
646496939,5057661,23:09.0,238,12:23:09,12:27:08,257249867,77619,"Mangalam Mild Steel Welding Rod, 3.15 mm X 350 mm",Mangalam Mild Steel Welding Rod,Mangalam Mild Steel Welding Rod,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=3DgZ5NKzuntdmixIQo0ngYabIalEuqtJ4CQrnrdx60ImAh4D11K/cPzwAM/uQCDmuiDgdmc105216MVWkeuyzqzgYPVdawIarbtUGLYiyflsgRp 3CtKDba6WJAFAseS
648431952,5057661,52:29.0,234,12:52:29,12:56:24,103272270,70469,Mangalam Mild Steel Welding Rod,Mangalam Mild Steel Welding Rod,Mangalam Mild Steel Welding Rod,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=1SEni jCb0HJWYI1vEfeMNIw04lhooDoktGYhAWn1XtJwS62817NjF7ub9Rll4YgGrDszY7LdnebyZk2cWlKnBV n7dA/TZj67WVuEf33xE8sHglrMUdhd89HQMqPPVc
