Reciever Seller ID,Buyer ID,call_id,call_transcription
152298969,"16,344,901",638646573,"{[00:03] Buyer: Hello?
[00:03] Seller: Hello, boliye.
[00:05] Buyer: Shriyanka thermal label printer hai na?
[00:08] Seller: Yes.
[00:09] Buyer: Haan, toh mujhe 300 DPI mein dekhne ka tha. Mera architectural office hai.
[00:15] Seller: Okay.
[00:15] Buyer: Mantra mein. Hum log ka roz ka aisa label printing nahi hai ya POS wagera kuch nahi hai. Envelope pe transparent yeh dalna hai. Name, project name yeh woh. Uske liye chahiye aur dusra silver foil pe print karne ke liye gifting ke liye uske liye chahiye. Toh 300 DPI mein with auto cutter kaunsa option hai aapke pass?
[00:45] Seller: Aap mujhe apna number de sakte hai? Main aapko do teen printers ke photos forward karti hoon. Aap ek baar check kar lijiye aapke application ke liye suitable hai ki nahi.
[00:50] Buyer: Aur best price dijiye. Mera kyuki din ka quantity sirf teen paanch labels ka hai ya usse bhi kam kabhi kabhi.
[00:56] Seller: Thik hai. Phir mujhe aapka number boliye na.
[00:59] Buyer: 98202.
[01:01] Seller: 98202.
[01:03] Buyer: 54118.
[01:07] Seller: 54118. Achcha thik hai.
[01:07] Buyer: Haan, aur 4 inch nahi rahega chalega mujhe. 3 inch bhi chalega, 2 and a half inch bhi chalega. Par DPI 300 chahiye.
[01:19] Seller: Okay.
[01:20] Buyer: Aur thermal roll wala chahiye. Direct direct thermal nahi chahiye.
[01:24] Seller: Okay chalega chalega.
[01:27] Buyer: Okay, thank you.}"
152298969,"255,311,872",638650286,"{[00:00] Buyer: Hello.
[00:01] Seller: Hello madam, yeh WhatsApp number hai kya?
[00:03] Buyer: Haan WhatsApp number hai. Nahi, yeh nahi hai. Mein aapko WhatsApp number bata rahi hu. Aapka number bataiye mein aapko hi pin karti hu WhatsApp pe.
[00:11] Seller: Ek minute ruko.
[00:12] Seller: Iski details vagera send karo madam, machine ki.
[00:15] Buyer: Okay. Aap mujhe woh WhatsApp pe... Mein ab aapka number bataiye mein hi pin karti hu and konse printer ka details chahiye? Aap mujhe WhatsApp pe hi bata dena then, theek hai?
[00:23] Seller: Achha madam. Mein number bol raha hu. 999
[00:26] Buyer: 999
[00:27] Seller: Zero.
[00:28] Buyer: Zero.
[00:29] Seller: 98.
[00:31] Buyer: Sorry, English mein bologe number, 9990 uske aage?
[00:34] Seller: Ek minute ruko madam.
[00:37] Seller: 999, haan.
[00:38] Seller: 78.
[00:41] Buyer: 99978.
[00:43] Seller: 0
[00:44] Buyer: 0
[00:45] Seller: 98.
[00:46] Buyer: 98.
[00:48] Seller: 32.
[00:49] Buyer: 32. 9997809832, barabar?
[00:55] Seller: Ji madam, barabar.
[00:56] Buyer: Okay, mein aapko hi pin karti hu.
[00:58] Seller: Sir, do jldi.}"
152298969,"255,311,872",638653977,"{[00:00] Seller: Hello
[00:01] Buyer: Hello, aap abhi mujhe whatsapp se aap hi baat kar rahe the na?
[00:05] Seller: Ji mam boliye.
[00:06] Buyer: Ha to mai bol rahi dekho jo maine aapko printer bheja hai na 4 inch ka to wo aapko e-commerce ke liye best suitable printer hai, theek hai? And uske hisab dekho, abhi aapko e-commerce ka business hai to aapko label wagharah bana banwa ke matlab aapke jo bhi parcels ke upar chipkana hai aapko, right? To uske liye hamara khud ka software bhi aapko provide hua milega, matlab hum logon ka easy label application hai Playstore pe. Wo bhi lifetime free hai. To aap aapke jitne bhi labels hai na, udhar create karke draft mein aap save kar sakte ho and kabhi bhi print nikal sakte ho, kitna bhi print aap nikal sakte ho.
[00:53] Buyer: Okay.
[00:53] Seller: Sath mein aapko 1 year ka warranty mil raha hai. Warranty jo bhi aapka warranty card hai wo aapko jese printer milega na, box ke andar hi hoga.
[01:01] Buyer: Online mein kisi unit pe. Warranty mein online ke kisi unit pe?
[01:07] Seller: Main khud selling karta main, online mein warranty thoda dekhiye kisi bhi unit pe.
[01:14] Seller: Jab bhi warranty card hai.
[01:16] Buyer: Warranty card kisi me nahi hai.
[01:18] Seller: To jab bhi aapko printer milega na, printer ke andar hi sab kuch hota hai, theek hai?
[01:23] Buyer: Kuchh bhi nahi jaana nahi hai.
[01:26] Seller: Kya bol rahe ho?
[01:27] Buyer: Sahi price batao.
[01:29] Seller: Maine aapko sahi price bola hai sir 10,000, aap online bhi dekho 10,500 ka printer hai. Fir bhi maine aapko discount karke 7 last mein maine 7,800 bola hai, 7,800 usse kam nahi hoga sir, because dekho na, isse aap do teen inch, chaar inch, teeno bhi label print kar sakte ho. Aapko roll stand bhi free mil raha hai. Aapko lifetime free hum log application bhi de rahe hai.
[01:50] Buyer: Accha?
[01:50] Seller: Barabar barabar, see dusra, aap dusra koi brand ka printer le rahe ho to uske liye aapko khud ka software lena padega na? Paisa deke wo bhi. But hum to aapko lifetime free provide kar rahe hai.
[02:03] Buyer: Aap apna shubh naam bataiye mam.
[02:06] Seller: Kya bol rahe ho?
[02:08] Buyer: Aap apna shubh naam bataiye.
[02:15] Seller: Pura naam batau main aapko?
[02:17] Buyer: Ji apna.
[02:19] Seller: Haan mera naam hai Dikshali.
[02:22] Buyer: Ha Dikshali ji main keh raha hu thoda sa sahi kar do.
[02:27] Seller: Kya kya, kya bol rahe ho?
[02:29] Buyer: Main yeh keh raha hu thoda sa kam kar lo price.
[02:32] Seller: Aap na mujhe whatsapp pe type karke bhejiye na because aapka aawaz mujhe proper nahi aa raha hai.
[02:36] Buyer: Abhi nahi aa rahi?
[02:38] Seller: Ek kaam kariye maine aapko whatsapp pe na number bheja hai. Aap wo number pe phone kariye na wo yahi number maine aapko jo number se whatsapp pe baat kar rahi hu na, maine wahi number aapko whatsapp kiya hai, aap mujhe wo number pe.
[02:47] Buyer: Ko di baat nahi baat kar lunga main, wo bhi thoda traffic mein fasa hu baad mein baat karta.
[02:51] Seller: Okay, okay chalega chalega, no issue.
[02:53] Buyer: Okay mam, Dikshali hai matlab.
}"
72509641,"145,710,803",638669797,"{[00:01] Buyer: हा बापू मशीनरी का?
[00:02] Seller: हो.
[00:02] Buyer: तुमच्याकडे रसवंदीचे मशीन आहेत का हो?
[00:04] Seller: आहेत दादा.
[00:05] Buyer: कोणते कोणते नवीन मॉडेल पाहिजे आम्हाला जुने नको आहेत.
[00:07] Seller: नाही साहेब, सगळे नवीन मॉडेल पण आहेत, जुने पण आहेत, सगळ्या मशीन मिळतात.
[00:10] Buyer: बरं मला या नंबर वरती फोटोज वगैरे आणि त्याचं मॉडेल नेम वगैरे टाकतात का?
[00:13] Seller: अ तुम्ही काय करा मला WhatsApp नंबर घ्या माझा. आता हा इंडिया मार्टला नंबर असतो तो वेगळा नंबर दिसतो त्याचा.
[00:18] Buyer: एक मिनिट मी तुमचा नंबर घेतो.
[00:20] Seller: हा बोला. 7387
[00:22] Buyer: 7387
[00:23] Seller: 11
[00:24] Buyer: 11
[00:25] Seller: 006
[00:27] Buyer: 006
[00:28] Seller: हम्म. ओके मी तुम्हाला हा टाकतो सगळ्या.
[00:30] Buyer: हा.}"
42728554,"77,218,948",638826264,"{[00:00] Buyer: Hello.
[00:01] Seller: Hello.
[00:02] Seller: Ji sir boliye.
[00:03] Buyer: Wet tissue mil jaega sir aapke yaha?
[00:05] Seller: Kya?
[00:06] Buyer: Wet tissue chahiye sir, wet tissue.
[00:07] Seller: Wet tissue?
[00:08] Buyer: Haanji.
[00:09] Seller: Haan bataiye.
[00:11] Buyer: Kya bataoon?
[00:12] Seller: Haan bata rahe the, kuch keh rahe the na abhi aap, bataiye.
[00:14] Buyer: Mai keh raha hun sir wet tissue ke regarding call kiya hai maine IndiaMART se.
[00:17] Seller: Haan Haan.
[00:18] Seller: Mil jayega.
[00:20] Buyer: Toh bhai ek list batao na, bada itna late kyu bol rahe ho bhaiya.
[00:22] Seller: Haan haan mil jayega.
[00:23] Buyer: Mai samajh hi nahi pa raha hun aap bechte bhi ho ya nahi?
[00:25] Seller: Nahi nahi hai mil jayega bataiye aap.
[00:26] Buyer: Kitne pack ka hai sir apne paas?
[00:27] Seller: Kya?
[00:27] Buyer: Kitne pack kitne pack waali packing hai apne paas?
[00:29] Seller: Ek minute.
[00:35] Seller: Awaaz nahi aari.
[00:37] Buyer: Hello.
[00:49] Buyer: Hello.
[01:00] Buyer: Hello.
[01:08] Buyer: Hello.
[01:09] Buyer: Haanji bhaiya?
[01:10] Seller: Haan ek pack mein 20 wet hote hain.
[01:13] Buyer: 20?
[01:13] Seller: Haan.
[01:14] Buyer: Kitne rupe ka pack hai sir ek?
[01:15] Seller: Kya?
[01:16] Buyer: Kitne rupe ka pack hai?
[01:17] Seller: Ye ₹9 ka hai.
[01:19] Buyer: ₹9 ka?
[01:20] Seller: Haan.
[01:21] Buyer: Size kya hai sir tissue ka?
[01:23] Seller: Size ka tissue?
[01:25] Buyer: Sir tissue ka size kya hai sir?
[01:26] Seller: Haan haan batao.
[01:35] Seller: Hello.
[01:35] Buyer: Haanji.
[01:36] Seller: Haan.
[01:38] Seller: Ye jaise apna A4 size paper hota hai na?
[01:41] Buyer: Hmm.
[01:41] Seller: Usska aap jo half loge.
[01:43] Buyer: Hmm.
[01:44] Seller: Utna hota hai.
[01:46] Seller: Half half pack mein.
[01:47] Buyer: Mujhe zara ek baar photo bhej sakte hain?
[01:49] Seller: Photo?
[01:50] Buyer: Haanji.
[01:50] Seller: Haan bhej deta hun.
[01:52] Buyer: Bhej dijiye.}"
72509641,"215,017,361",638860652,"{[00:01] Buyer: Hello.
[00:02] Seller: Ha bola.
[00:02] Buyer: Hello, aapla air compressor hava hota.
[00:05] Seller: Kiti HP vala hai?
[00:06] Buyer: 5 HP.
[00:07] Seller: 5 HP, tanki kiti liter pahije?
[00:09] Buyer: 250, 300.
[00:12] Buyer: Hello.
[00:13] Seller: 300 liter three phase madhye pahije tumhala bhai hai na?
[00:16] Buyer: Ho.
[00:18] Seller: Kutlya thikani pahije aaplyala?
[00:20] Buyer: Nashik Road.
[00:23] Seller: Bara ek don minute tumhala rate patavto me WhatsApp la. Aaple kontya company che?
[00:27] Seller: Aamchyakade Natorch ahe.
[00:30] Buyer: Aaple, E L G vaigare aaikle na E L G che?
[00:32] Seller: E L G ta nahi ghyaycha dada.
[00:33] Buyer: Natorch cha milel, Polaris cha milel, Speed cha milel.
[00:36] Buyer: Nashik madhye aahe ka E L G cha kuthe shop?
[00:38] Seller: Nahi idea bar ka mahnu.
[00:40] Buyer: Aapla Natorch cha kiti paryant jato? Tyacha quotation pathavana mahla ya WhatsApp la.
[00:43] Seller: Bara thik hai.
[00:44] Buyer: Bara chal pathavana.}"
72509641,"71,234,229",638911462,"{[00:01] Buyer: Hello.
[00:01] Seller: Hello.
[00:02] Buyer: Hello?
[00:03] Seller: Ah, Namaskar sir, man Ladishmukh boltoy.
[00:05] Buyer: Namaskar.
[00:06] Seller: Ah, Nashik varun bolta hai na aap?
[00:07] Buyer: Ho.
[00:08] Seller: Bapu Machinery.
[00:09] Buyer: Ho ho.
[00:10] Seller: Aamala rasavanti machine ghaychi hai ti chhoti hai na tila engine hai phaay chhot?
[00:13] Buyer: Hai na?
[00:15] Seller: Ah, te photosahit price taka na ho mag. Aami aalo Nashikla.
[00:19] Buyer: Kadhi kadhi ghaychi tumhala?
[00:21] Seller: Aata ch ghaychi.
[00:24] Buyer: Aata mhanje keva?
[00:25] Seller: Tho, aataa tumhi price sangitlyavar yeu aami aataa mi Nashikla jatoh don-teen divas, kaal tar aalo ghari.
[00:31] Buyer: Mhanje udhya parva kadhi yenar hai tumhi?
[00:33] Seller: Kadhi yeu? Tumhi sangitlyavar.
[00:35] Buyer: Tumhi maaza WhatsApp number ghyaa.
[00:37] Seller: Oh, tumchha number WhatsApp la aala hai message madhi aaleley mala tumhi pathavile tikdun.
[00:42] Buyer: Tumhi mala, jo aala na tyachyavarun hi kara mi tyachyavar photo takto mi tumhala.
[00:45] Seller: Pan mag to WhatsApp la jo number aala hai to number lagat nahi.
[00:49] Buyer: Bhau tumhala mi sangto WhatsApp number ghyaa na tumhi. Bar tumchha WhatsApp number sanga mala chala.
[00:53] Seller: Ah, haach hai sir WhatsApp number maaza.
[00:54] Buyer: Mala call IndiaMART var hai na? IndiaMART var hai na, Dada? IndiaMART var to vegla number asto ani WhatsApp var vegla asto. Mhanje IndiaMART vegla number dakhto sir IndiaMART varun call kela na tumhi mala aataa.
[01:02] Seller: Nahi, message kela hai na tumhi.
[01:03] Seller: Tumhi mala tumcha number sanga WhatsApp number sanga fakta ata.
[01:05] Buyer: 87 96.
[01:06] Seller: 87 96, bar chal paaus aala chal 87 96,
[01:09] Buyer: Ha,
[01:10] Buyer: 27 71,
[01:12] Seller: 27 71,
[01:13] Buyer: 67.
[01:14] Seller: Kudhun bolta hai tumhi?
[01:15] Buyer: Aami Rajdhar varun boltoy, Pandharadhar, Aakole.
[01:18] Seller: Chalala paaus.
[01:18] Seller: Aalaich.
[01:19] Buyer: Ho.
}"
24108739,"115,263,902",638980599,"{[00:00] Buyer: Hello.
[00:02] Seller: Hello, Shradha Enterprises se bol raha?
[00:04] Buyer: ha bol rahe
[00:05] Seller: uh sir aapka udhar woh xerox printing machine service karega?
[00:11] Buyer: Kaunsa machine hai sir?
[00:13] Seller: uh xerox printing machine hai na xerox
[00:16] Buyer: Leta mend?
[00:17] Seller: uh xerox xerox
[00:19] Buyer: Nahi nahi brand kaunsa hai?
[00:21] Seller: Canon ka, Canon ka.
[00:23] Buyer: Canon ka hai repair karna hai?
[00:25] Seller: uh kya hai na uska thermal head hai na woh kharab hua woh change karne ke liye kitna ho jaega? yeh MK 1500 hai iska model number.
[00:34] Buyer: 1500 aapka office kahaan pe hai sir?
[00:37] Seller: Mein hamara idhar Chimbli Phatta pe.
[00:41] Buyer: Chimbli Phatta hai na? Thik hai mera bhi idhar Nigdi mein hi hai. Mein ek baar check karta hoon ki MK 1500 ka kitne mein padta hai, mein aapko yeh aapka WhatsApp number hai?
[00:53] Seller: uh yeh hai mein yeh mera WhatsApp number hai.
[00:55] Buyer: Ha, thik hai sir, mein aapko message karta hoon 10-15 minute dijiye sir.
[01:00] Seller: Thik hai sir, thik hai thank you sir.
[01:01] Buyer: Ha, ek baar availability check karta hoon aur kitne price jaega woh bhi.
[01:06] Seller: Thik hai sir, thik hai.
[01:08] Buyer: Okay sir.}"
24108739,"115,263,902",639001620,"{[00:01] Buyer: Hello.
[00:03] Buyer: Sir, mai ek call kiya hai na aapko.
[00:06] Buyer: Wo thermal plate ke liye.
[00:10] Buyer: Haan, wo mai thermal plate ka price ke liye.
[00:13] Seller: Aapka baat hua hai kya?
[00:16] Buyer: Haan baat wo bol raha aadha ghanta ka baad price puch ke batayega wo.
[00:21] Seller: Theek hai, nahi nahi mere ladke se baat hua hoga. Mai unko bol deta hu ki aapko call kare.
[00:27] Buyer: A, theek hai. Uska whatsapp number uskaa uska uska number likh lijiye.
[00:33] Buyer: Ok ek minute sir.
[00:41] Seller: Ha bolo sir.
[00:42] Seller: 81
[00:44] Seller: 81
[00:45] Seller: 49
[00:46] Seller: Kitna?
[00:51] Seller: 81 49
[00:54] Seller: 81 49,
[00:56] Seller: Four four four nine, haa 81 49
[01:00] Seller: 53.
[01:01] Seller: 53.
[01:02] Seller: 53 46 53
[01:05] Seller: 46 46 14
[01:08] Seller: 14 81 kya naam hai Sampanna.
[01:13] Seller: kya
[01:14] Seller: 81 49 53 46 14.
[01:21] Seller: Ok naam hai inka Sampanna aap unse baat kar sakte hai.
[01:24] Buyer: Thik hai thank you.
[01:26] Buyer: This is the.
[01:27] Seller: Mai bhi bol deta hu, aap bhi try kar sakte.
[01:31] Buyer: Abhi mai abhi baat kiya na wo koi ladka phone uthaya.
[01:34] Seller: Haan ji aapne aapne aapne India Mart pe phone kiya hai to aapka jo number hai wo wo it is being rotated through telecaller system.
[01:42] Seller: Aapka number nahi aata hai jaise ki ye aapka phone band ho jayega aapka number aa jayega mujhe.
[01:49] Buyer: Ok ok ok.
[01:50] Seller: Theek hai mai main time usko bhi bol deta hu aap bhi try kar sakte ho directly.
[01:53] Buyer: Hmm, theek hai theek hai.
}"
72509641,"235,090,901",639028363,"{Okay, here is the transcribed version of the audio:

[00:01] Buyer: Hello.
[00:02] Seller: Sir ji namaste.
[00:03] Buyer: Namaste.
[00:05] Buyer: Sir ji mujhe ek ye kanna wali machine chahiye tha.
[00:09] Seller: Ah, kahan pe chahiye aapko?
[00:11] Buyer: Hum bhivandi se bol rahe hain.
[00:14] Seller: Ah, jaise automatic wala chahiye, ya manual wala chahiye?
[00:17] Buyer: Sorry?
[00:19] Seller: Automatic wala machine chahiye ya manual wala machine chahiye?
[00:23] Buyer: Manual wala bole to jo machine jaise...
[00:26] Seller: Apna regular model jo aata hai, woh waisa wala chahiye, hare colour ka?
[00:30] Buyer: Haan, hare colour, barabar barabar.
[00:35] Seller: Aapka mobile number bolye, whatsapp number kaunsa hai?
[00:38] Buyer: Whatsapp number mera hai.
[00:42] Buyer: Jo aap baat kar rahe hai, wahi whatsapp number hai.
[00:45] Seller: Aap ispe whatsapp number nahi aata hai.
[00:47] Buyer: Sorry?
[00:49] Seller: Ispe number nahi aata hai.
[00:52] Buyer: Achcha achcha. 9137
[00:55] Seller: Haan?
[00:57] Buyer: Aap whatsapp number le rahe ho kya mera?
[01:00] Seller: Mein aapko photo dalta hu, rate dalta hu uska, aap mera aap whatsapp number bataiye na.
[01:04] Buyer: Achcha, theek hai, mein ha likh ke bhejta hu aapko.
[01:06] Buyer: Hello?
[01:08] Seller: Boliye na?
[01:10] Buyer: Hello.
[01:12] Seller: Haan boliye boliye, aap number boliye na.
[01:14] Buyer: 9137
[01:16] Seller: 9137
[01:17] Buyer: 015
[01:19] Seller: Zero?
[01:20] Buyer: 15
[01:22] Seller: Haan?
[01:22] Buyer: 778
[01:25] Seller: Haan?
[01:25] Buyer: 778
[01:27] Seller: 778
[01:28] Seller: Kya naam hai aapka?
[01:30] Buyer: Ajay.
[01:31] Seller: Ajay.
[01:32] Seller: Haan. Theek hai, mein bhejta hu aapko photo wagarah.
[01:34] Buyer: Theek hai, theek hai.
}"
