call_id,seller_id,product_id,product_name,product_kw,initial_price,intermediate_price,final_price,discount_percent,price_currency,moq_value,moq_unit,moq_price,unit_price,price_type,other_conditions_notes,other_conditions_payment_terms,delivery_responsibility,seller_delivers_to_buyer_location,seller_sentiment,negotiation_flag,number_of_price_revisions,notes
638646573,152298969,P1,Shriyanka Thermal Label Printer 300 DPI,shriyanka_thermal_label_printer_300dpi,,,,,,,,,,,,,unknown,unknown,positive,no,0,
638653977,152298969,P1,4-Inch Label Printer,label_printer_4inch,10500.0,10000.0,7800.0,25.71,INR,,,,10500.0,unit_price,,,unknown,unknown,neutral,yes,3,
638669797,72509641,P1,Sugarcane Juice Machine,sugarcane_juice_machine,,,,,,,,,,,,,unknown,unknown,positive,no,0,
638826264,42728554,P1,"Wet Tissue Pack, 20 Pieces",wet_tissue_20pcs,9.0,,9.0,0.0,INR,,,,9.0,unit_price,,,unknown,unknown,neutral,no,0,
638860652,72509641,P1,Natorch Air Compressor 5HP 250-300L Tank,natorch_air_compressor_5hp_250_300l,,,,,,,,,,,,,unknown,unknown,neutral,no,0,
638911462,72509641,P1,Juice Extraction Machine Small,juice_extraction_machine_small,,,,,,,,,,,,,unknown,unknown,neutral,no,0,
638980599,24108739,P1,Canon Xerox Printing Machine Thermal Head MK 1500,canon_xerox_printing_machine_thermal_head_mk1500,,,,,,,,,,,,,unknown,unknown,neutral,no,0,
639001620,24108739,P1,Thermal Plate,thermal_plate,,,,,,,,,,,,,unknown,unknown,neutral,no,0,
639028363,72509641,P1,Manual Kanna Machine Green,manual_kanna_machine_green,,,,,,,,,,,,,unknown,unknown,positive,no,0,
639058009,152298969,P1,Seryas Billing Printer 80mm,seryas_billing_printer_80mm,4500.0,,1700.0,62.22,INR,,,,4500.0,unit_price,,,seller,unknown,positive,yes,2,
639058746,152298969,P1,"Printer, 58 mm",printer_58mm,1700.0,4500.0,4500.0,-164.71,INR,,,,1700.0,unit_price,,cash on delivery,seller,yes,positive,no,3,
639069156,152298969,P1,Printer,printer,1700.0,,1700.0,0.0,nan,,,,1700.0,total,Price quoted by seller as 1700; no further conditions stated.,,seller,yes,positive,no,0,
639242387,152298969,P1,"Thermal Receipt Printer, 4-Inch CD 410",thermal_printer_4inch_cd410,,,,,,,,,,,,,seller,yes,neutral,no,0,
639267471,72509641,P1,Vegetable Cutter Machine For Salad,vegetable_cutter_salad,77.0,200.0|44.0,912.0,-1084.42,nan,,,,77.0,unknown,,,unknown,unknown,positive,no,4,
639271912,72509641,P1,Papad Machine,papad_machine,,,,,,,,,,,,,unknown,unknown,neutral,no,0,
639396599,152298969,P1,Barcode Label Printer 4 Inch,barcode_label_printer_4inch,4500.0,,4500.0,0.0,INR,,,,4500.0,unit_price,,,unknown,unknown,positive,no,0,
639472129,42728554,P1,YemoX Pro Cutto Machine,yemox_pro_cutto_machine,6400.0,,6400.0,0.0,INR,,,,6400.0,unit_price,,,buyer,no,neutral,no,0,
639498103,72509641,P1,Maratha Chakki Machine 2HP,chakki_machine_2hp_maratha,12500.0,,15500.0,-24.0,INR,,,,12500.0,unit_price,,,unknown,unknown,positive,no,2,
639536764,72509641,P1,Garlic Peeling Machine 100 Kg Per Hour Capacity Full Setup,garlic_peeling_machine_100kgph_full_setup,,,,,,,,,,,,,unknown,unknown,neutral,no,0,
639542132,152298969,P1,Bluetooth Thermal Printer 2 Inch,bluetooth_thermal_printer_2inch,4500.0,2400.0,4500.0,0.0,INR,,,,4500.0,unit_price,Price mentioned by caller as standard price.,,unknown,unknown,neutral,no,3,
639800568,152298969,P1,Bluetooth Receipt Printer 2 Inch,bluetooth_receipt_printer_2inch,,,,,,,,,,,,,unknown,unknown,neutral,no,0,
639894623,42728554,P1,Vacuum Cleaner 30 Liter,vacuum_cleaner_30l,,,,,,,,,,,,,unknown,unknown,neutral,no,0,
639924255,42728554,P1,Imported Geyser Spare Parts,geyser_spare_imported,,,,,,,,,,,,,unknown,unknown,positive,no,0,
640001713,42728554,P1,MOOF Pro Pipe 10 Inch,moof_pro_pipe_10inch,5200.0,,5200.0,0.0,INR,1.0,piece,,5200.0,unit_price,Price excluding GST,,unknown,unknown,positive,no,0,
